address_id	address_organisation	address_organisationsbereich	bezeichnung	address_strasse	address_hausnummer	address_postleitzahl	address_ort	latitude	longitude	service_id	service_email	service_oeffnungszeiten	service_barrierefreiheit_anmerkung	service_bezeichnung	service_anzeigename	service_beschreibung	service_kurzbeschreibung	gebuehren	betreiber	duschen	wickelraeume
﻿101010	Landeshauptstadt München	Referat für Gesundheit und Umwelt	Neuer Südfriedhof	Hochaeckerstr.	90	81737	München	48.1005949	11.6224059	10176177	neuer-suedfriedhof@muenchen.de	während der Öffnungszeiten des Friedhofs		"Öffentliche Toilette ""Neuer Südfriedhof"""	"Öffentliche Toilette ""Neuer Südfriedhof"""			gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198309	Landeshauptstadt München	MTG	"Öffentliche Toilette ""Lorettoplatz"""	Lorettoplatz				48.1034748	11.4890378	10198310	info@muenchner-toiletten.de	Täglich, 06.00-24.00 Uhr		"Öffentliche Toilette ""Lorettoplatz"""	"Öffentliche Toilette ""Lorettoplatz"""			gebührenfrei	Münchner Toiletten GmbH	FALSE	FALSE
10198354	Landeshauptstadt München	Kommunalreferat	"Öffentliche Toilette ""Bavariaring 5"""	Bavariaring	5			48.1363899	11.5498500	10198355	kroell@hansimglueck-franchise.de	nur während Oktoberfest geöffnet		"Öffentliche Toilette ""Bavariaring 5"""	"Öffentliche Toilette ""Bavariaring 5"""		Diese Toilette ist nur während des Oktoberfests geöffnet.	gebührenpflichtig	Privater Betreiber	FALSE	FALSE
10198358	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	westl. Marienklausenbrücke				48.0922698	11.5478861	10198359		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""westl. Marienklausenbrücke"""	"Öffentliche Toilettenkabine Isarauen ""westl. Marienklausenbrücke"""			gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198360	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	Floßlände				48.0956020	11.5443670	10198361		nur während Floßsaison		"Öffentliche Toilettenkabine Isarauen ""Floßlände"""	"Öffentliche Toilettenkabine Isarauen ""Floßlände"""		nur während Floßsaison	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198362	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	Floßlände				48.0952580	11.5461641	10198363		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""Floßlände 2"""	"Öffentliche Toilettenkabine Isarauen ""Floßlände 2"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198364	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	südlich Flauchersteg				48.1024913	11.5523010	10198365		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""Lagehinweis südlich Flauchersteg"""	"Öffentliche Toilettenkabine Isarauen ""Lagehinweis südlich Flauchersteg"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198366	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	zwischen Brudermühlbrücke und Flaucher				48.1095696	11.5588885	10198367		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""zwischen Brudermühlbrücke und Flaucher"""	"Öffentliche Toilettenkabine Isarauen ""zwischen Brudermühlbrücke und Flaucher"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198368	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	südlich Brudermühlbrücke				48.1116398	11.5591728	10198369		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""südlich Brudermühlbrücke"""	"Öffentliche Toilettenkabine Isarauen ""südlich Brudermühlbrücke"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
10198370	Landeshauptstadt München	Baureferat	Öffentliche Toilettenkabine Isarauen	südöstlich Braunauer Eisenbahnbrücke				48.1177642	11.5624397	10198371		nicht bei Hochwasser		"Öffentliche Toilettenkabine Isarauen ""südöstlich Braunauer Eisenbahnbrücke"""	"Öffentliche Toilettenkabine Isarauen ""südöstlich Braunauer Eisenbahnbrücke"""		nicht bei Hochwasser	gebührenfrei	Landeshauptstadt München	FALSE	FALSE
