adress_id,bezeichnung,latitude,longitude,service_id,service_kfz_parkplaetze_fuer_behinderte,service_hilfen_fuer_gehbehinderte,service_hilfen_fuer_sehbehinderte,service_hilfen_fuer_gehoerlose_und_schwerhoerige_menschen,service_bezeichnung,service_anzeigename,service_beschreibung,service_kurzbeschreibung,besondere_angebote,sonstige_angebote,altersgruppe,weitere_informationen,
﻿10100152,"Spielplatz ""Schwere-Reiter-Str. Ecke Ackermannstr.""",48.1634805031483,11.552318303568878,10100153,Nein,Nein,Nein,Nein,Service Spielplatz,"Spielplatz ""Schwere-Reiter-Str. Ecke Ackermannstr.""",,,Skateanlage,,Jugendliche,http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101944,"Fitness Parcours "" Südpark """,48.10476463890514,11.507670995604412,10101945,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Südpark """,,,Fitness Parcours,,"Erwachsene
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101948,"Fitness Parcours "" Feldmochinger See """,48.21552412585999,11.513373252187531,10101949,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Feldmochinger See """,,,Fitness Parcours,,"Erwachsene
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101950,"Fitness Parcours "" Merseburger Straße """,48.18780274519349,11.516681652475238,10101951,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Merseburger Straße""",,,Fitness Parcours,,"Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101952,"Fitness Parcours "" Hogenbergplatz """,48.13695922485689,11.507236017551785,10101953,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Hogenbergplatz """,,,Fitness Parcours,,"Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101954,"Fitness Parcours "" Servetstraße """,48.19776499735251,11.455718660444251,10101955,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Servetstraße """,,,Fitness Parcours,,"Erwachsene
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101956,"Fitness Parcours "" Oskar-Maria-Graf-Ring """,48.09565988998664,11.664220967035789,10101957,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Oskar-Maria-Graf-Ring """,,,Fitness Parcours,,"Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101958,"Fitness Parcours "" Mildred-Scheel-Bogen """,48.17360906413549,11.580317847137142,10101959,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Mildred-Scheel-Bogen """,,,Fitness Parcours,,"Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10115080,"Dirtbikeanlage ""Silberdistelstr.""",48.13742913686116,11.47225081264459,10115081,Nein,Nein,Nein,Nein,Service Spielplatz,"Dirtbikeanlage ""Silberdistelstr.""",,,Dirtbike,,"Erwachsene
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10115082,"Dirtbikeanlage ""Goteboldstr.""",48.18298708949316,11.43755884798746,10115083,Nein,Nein,Nein,Nein,Service Spielplatz,"Dirtbikeanlage ""Goteboldstr.""",,,Dirtbike,,"Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
